OBJECTID,stcode11,dtcode11,sdtcode11,Shape_Length,Shape_Area,stname,dtname,sdtname,Subdt_LGD,Dist_LGD,State_LGD,FID
4808,35,638,05916,52068.34484958285,129548276.467057,ANDAMAN & NICOBAR,Nicobars,Car Nicobar,5916,603,35,4808
4809,35,638,05917,492841.654850655,469246455.0398558,ANDAMAN & NICOBAR,Nicobars,Nancowry,5917,603,35,4809
4810,35,638,05918,353697.7335457454,1120544825.757909,ANDAMAN & NICOBAR,Nicobars,Great Nicobar,5918,603,35,4810
4811,35,639,05919,1127189.4209990096,1428803590.0904608,ANDAMAN & NICOBAR,North  & Middle Andaman,Diglipur,5919,632,35,4811
4812,35,639,05920,538032.6264397814,803001036.6484985,ANDAMAN & NICOBAR,North  & Middle Andaman,Mayabunder,5920,632,35,4812
4813,35,639,05921,1081349.3046150377,1254321218.4504354,ANDAMAN & NICOBAR,North  & Middle Andaman,Rangat,5921,632,35,4813
4814,35,640,05922,818236.1344061588,1239645532.9024324,ANDAMAN & NICOBAR,South Andaman,Ferrargunj,5922,602,35,4814
4815,35,640,05923,562104.4289397812,501987671.9564761,ANDAMAN & NICOBAR,South Andaman,Port Blair,5923,602,35,4815
4816,35,640,05924,154570.79713033032,711588033.1167934,ANDAMAN & NICOBAR,South Andaman,Little Andaman,5924,602,35,4816
5273,37,542,04769,89602.96018569337,156405162.13903666,ANDHRA PRADESH,Srikakulam,Veeraghattam,4769,519,28,5273
5274,37,542,04770,199674.7097291911,509362445.63448256,ANDHRA PRADESH,Srikakulam,Seethampeta,4770,519,28,5274
5275,37,542,04771,107275.7409229949,188365197.28491056,ANDHRA PRADESH,Srikakulam,Bhamini,4771,519,28,5275
5276,37,542,04772,98794.24152179997,196655117.9901491,ANDHRA PRADESH,Srikakulam,Kothuru,4772,519,28,5276
5277,37,542,04773,119652.4516711955,212261646.9985289,ANDHRA PRADESH,Srikakulam,Pathapatnam,4773,519,28,5277
5278,37,542,04774,117650.77053320434,260064366.7016429,ANDHRA PRADESH,Srikakulam,Meliaputti,4774,519,28,5278
5279,37,542,04775,91959.43820082025,168662351.1838681,ANDHRA PRADESH,Srikakulam,Palasa,4775,519,28,5279
5280,37,542,04776,127762.76887260903,255647343.75195056,ANDHRA PRADESH,Srikakulam,Mandasa,4776,519,28,5280
5281,37,542,04777,89922.48695844246,192917644.19296253,ANDHRA PRADESH,Srikakulam,Kanchili,4777,519,28,5281
5282,37,542,04778,74748.47924787893,118449360.13239467,ANDHRA PRADESH,Srikakulam,Ichchapuram,4778,519,28,5282
5283,37,542,04779,58645.918622262056,130238069.46847875,ANDHRA PRADESH,Srikakulam,Kaviti,4779,519,28,5283
5284,37,542,04780,95019.57389855683,138304173.017919,ANDHRA PRADESH,Srikakulam,Sompeta,4780,519,28,5284
5285,37,542,04781,80921.80753033147,151690306.68997994,ANDHRA PRADESH,Srikakulam,Vajrapukothuru,4781,519,28,5285
5286,37,542,04782,85893.12061031623,207613653.13007328,ANDHRA PRADESH,Srikakulam,Nandigam,4782,519,28,5286
5287,37,542,04783,100735.39907394722,180946547.49780732,ANDHRA PRADESH,Srikakulam,Hiramandalam,4783,519,28,5287
5288,37,542,04784,69762.64337398976,121847269.24028535,ANDHRA PRADESH,Srikakulam,Palakonda,4784,519,28,5288
5289,37,542,04785,83296.03474311646,127797283.29357381,ANDHRA PRADESH,Srikakulam,Vangara,4785,519,28,5289
5290,37,542,04786,82021.6185512019,168193964.48857725,ANDHRA PRADESH,Srikakulam,Regidi Amadalavalasa,4786,519,28,5290
5291,37,542,04787,50702.66156186921,71857049.76705585,ANDHRA PRADESH,Srikakulam,Lakshminarsupeta,4787,519,28,5291
5292,37,542,04788,130927.9733228246,186541701.91636646,ANDHRA PRADESH,Srikakulam,Saravakota,4788,519,28,5292
5293,37,542,04789,86628.54988342198,147616391.4053203,ANDHRA PRADESH,Srikakulam,Tekkali,4789,519,28,5293
5294,37,542,04790,87839.98568547404,217159145.68193597,ANDHRA PRADESH,Srikakulam,Santhabommali,4790,519,28,5294
5295,37,542,04791,82120.35248567934,168507211.82481635,ANDHRA PRADESH,Srikakulam,Kotabommali,4791,519,28,5295
5296,37,542,04792,103127.71658019586,149885999.2608978,ANDHRA PRADESH,Srikakulam,Jalumuru,4792,519,28,5296
5297,37,542,04793,60534.627333090946,87161939.48736612,ANDHRA PRADESH,Srikakulam,Sarubujjili,4793,519,28,5297
5298,37,542,04794,84800.36331863057,125633745.13546586,ANDHRA PRADESH,Srikakulam,Burja,4794,519,28,5298
