SUB_DISTRICT,TYPE,STATE,CENSUS_CODE_2001,NAME,DISTRICT
Dhanera,Village,Gujarat,2402000300121000,Vasan,Banas Kantha
Dhanera,Village,Gujarat,2402000300120900,Aeta,Banas Kantha
Dhanera,Village,Gujarat,2402000300120800,Gola,Banas Kantha
Dhanera,Village,Gujarat,2402000300121300,Shergadh (Jadiya),Banas Kantha
Tharad,Village,Gujarat,2402000200107200,Kasavi,Banas Kantha
Tharad,Village,Gujarat,2402000200107400,Takhuva,Banas Kantha
Vav,Village,Gujarat,2402000100095600,Daiyap,Banas Kantha
Dhanera,Village,Gujarat,2402000300120600,Nenava,Banas Kantha
Tharad,Village,Gujarat,2402000200107300,Bhardasar,Banas Kantha
Dhanera,Village,Gujarat,2402000300120700,Khaprol,Banas Kantha
Tharad,Village,Gujarat,2402000200107800,Khoda,Banas Kantha
Tharad,Village,Gujarat,2402000200107500,Radka,Banas Kantha
Dhanera,Village,Gujarat,2402000300121100,Pengiya,Banas Kantha
Dhanera,Village,Gujarat,2402000300121200,Dharnodhar,Banas Kantha
Tharad,Village,Gujarat,2402000200107900,Vara,Banas Kantha
Tharad,Village,Gujarat,2402000200108500,Antrol,Banas Kantha
Vav,Village,Gujarat,2402000100095500,Mithavi Charan,Banas Kantha
Dhanera,Village,Gujarat,2402000300122600,Dugdol Moti,Banas Kantha
Tharad,Village,Gujarat,2402000200108600,Ranesari,Banas Kantha
Tharad,Village,Gujarat,2402000200107700,Vantdau,Banas Kantha
Dhanera,Village,Gujarat,2402000300121400,Kunwarla,Banas Kantha
Vav,Village,Gujarat,2402000100095100,Mavsari,Banas Kantha
Tharad,Village,Gujarat,2402000200108400,Naroli,Banas Kantha
Tharad,Village,Gujarat,2402000200107600,Betaliya,Banas Kantha
Tharad,Village,Gujarat,2402000200108200,Vaghasan,Banas Kantha
Tharad,Village,Gujarat,2402000200108700,Sherau,Banas Kantha
Vav,Village,Gujarat,2402000100096300,Kundaliya,Banas Kantha
Vav,Village,Gujarat,2402000100095400,Mithavi Rana,Banas Kantha
Dhanera,Village,Gujarat,2402000300122500,Bhatib,Banas Kantha
Dhanera,Village,Gujarat,2402000300121500,Magarawa,Banas Kantha
Vav,Village,Gujarat,2402000100095300,Takhatpura (J),Banas Kantha
Tharad,Village,Gujarat,2402000200109700,Bevata,Banas Kantha
Vav,Village,Gujarat,2402000100095200,Jordiyali,Banas Kantha
Tharad,Village,Gujarat,2402000200108000,Kharakhoda,Banas Kantha
Dhanera,Village,Gujarat,2402000300122700,Dugdol Nani,Banas Kantha
Dhanera,Village,Gujarat,2402000300122800,Edal,Banas Kantha
Tharad,Village,Gujarat,2402000200108100,Miyal,Banas Kantha
Dhanera,Village,Gujarat,2402000300121700,Lelava,Banas Kantha
Vav,Village,Gujarat,2402000100095800,Tejpura,Banas Kantha
Dhanera,Village,Gujarat,2402000300123000,Kundi,Banas Kantha
Dhanera,Village,Gujarat,2402000300122900,Talegadh,Banas Kantha
Dhanera,Village,Gujarat,2402000300123100,Bapla,Banas Kantha
Dhanera,Village,Gujarat,2402000300121600,Lawara,Banas Kantha
Tharad,Village,Gujarat,2402000200108300,Savarakha,Banas Kantha
Dhanera,Village,Gujarat,2402000300122300,Rampura Chhota,Banas Kantha
Dhanera,Village,Gujarat,2402000300122400,Jadiya,Banas Kantha
